Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Higienópolis;1;0;0;45;800.0;1028.0;1437.3333333333335
Tanque;1;0;0;45;750.0;75.0;310.5
Tijuca;1;0;1;33;900.0;460.0;25.0
Centro;1;0;0;35;900.0;517.0;25.0
Quintino Bocaiúva;1;0;0;50;1100.0;145.0;374.5
Madureira;1;0;0;50;750.0;200.0;312.42857142857144
Marechal Hermes;1;0;0;29;490.0;2400.0;891.5
Centro;1;0;0;26;750.0;400.0;276.0
Glória;1;0;0;47;1150.0;500.0;25.0
Méier;1;0;0;35;1100.0;200.0;35.0
Tauá;1;0;0;40;1150.0;80.0;20.0
Cachambi;1;0;0;35;600.0;274.0;22.0
Flamengo;1;0;0;27;1000.0;366.0;25.0
Catete;1;0;0;44;950.0;300.0;29.0
Campo Grande;1;1;0;41;600.0;195.0;274.0
Praça da Bandeira;1;0;0;36;1100.0;350.0;130.0
Ribeira;1;1;0;58;1100.0;565.0;500.0
Cachambi;1;0;0;36;600.0;407.0;297.5
Barra da Tijuca;1;1;0;42;1000.0;740.0;260.0
Engenho de Dentro;1;1;0;50;800.0;250.0;4088.5
Gardênia Azul;1;1;0;39;790.0;4650.0;1953.3333333333333
Grajaú;1;0;0;40;1000.0;460.0;25.0
Méier;1;1;0;55;800.0;400.0;17.0
Grajaú;1;1;0;58;1100.0;670.0;360.0
Vila Isabel;1;0;0;35;1100.0;455.0;291.6666666666667
Praça Seca;1;1;0;46;700.0;300.0;107.0
Jardim Guanabara;1;1;0;44;1100.0;230.0;48.0
Cachambi;1;1;0;64;900.0;600.0;458.0
Tijuca;1;0;0;40;900.0;640.0;21.0
Praça da Bandeira;1;0;0;30;900.0;310.0;284.33333333333337
Campo Grande;1;0;0;65;650.0;110.0;6792.75
Méier;1;1;0;87;1100.0;411.0;1950.0
Grajaú;1;1;0;50;1100.0;500.0;1800.0
Centro;1;0;0;40;1100.0;707.0;70.0
Catete;1;0;0;29;1100.0;320.0;25.0
São Cristóvão;1;0;0;55;900.0;450.0;1035.3333333333335
Centro;1;0;0;40;1050.0;340.0;155.5
Cascadura;1;0;0;54;760.0;80.0;161.0
Tijuca;1;0;0;45;1000.0;440.0;185.0
Ramos;1;0;0;58;900.0;624.3333333333333;32.42857142857143
Centro;1;0;0;34;1000.0;454.0;25.0
Vila Isabel;1;1;0;30;1100.0;620.0;307.5
Tijuca;1;0;0;40;1100.0;534.0;25.0
Anil;1;1;0;40;1100.0;320.0;13.0
Centro;1;0;0;35;1100.0;340.0;20.0
Vila da Penha;1;0;0;35;500.0;1192.5;483.6666666666667
Lins de Vasconcelos;1;1;0;44;800.0;435.0;14.0
Engenho Novo;1;0;0;45;800.0;460.0;168.5
Centro;1;0;0;25;850.0;223.0;24.0
Jardim Guanabara;1;1;0;30;1000.0;450.0;24.0
Freguesia (Jacarepaguá);1;1;0;55;900.0;690.0;40.0
Guadalupe;1;1;1;45;800.0;250.0;750.0
Centro;1;0;0;32;900.0;342.0;24.0
Copacabana;1;0;0;21;1100.0;405.0;228.5
Centro;1;0;0;25;1100.0;1641.5;629.0
Flamengo;1;0;0;23;800.0;480.0;29.0
Campo Grande;1;1;0;48;650.0;250.0;12.0
Centro;1;0;0;28;900.0;370.0;20.0
Centro;1;0;0;37;940.0;385.0;24.0
Freguesia (Jacarepaguá);1;1;0;45;1100.0;485.0;36.0
Tijuca;1;0;0;35;1000.0;300.0;50.0
Cascadura;1;0;0;45;650.0;250.0;475.5
Centro;1;0;0;34;850.0;410.0;24.0
Vila Isabel;1;1;1;52;1000.0;750.0;25.0
Andaraí;1;0;0;60;1100.0;150.0;20.0
Quintino Bocaiúva;1;0;0;40;700.0;66.0;160.25
Oswaldo Cruz;1;0;0;50;700.0;800.0;825.0
Campo Grande;1;0;0;50;600.0;640.0;236.66666666666669
Centro;1;0;0;38;900.0;355.0;21.0
Olaria;1;0;0;56;780.0;318.0;340.5
Rocha Miranda;1;0;0;32;1000.0;1410.0;478.6666666666667
Laranjeiras;1;0;0;25;900.0;450.0;30.0
Olaria;1;0;0;55;850.0;40.0;1238.5
Vicente de Carvalho;1;0;0;55;600.0;1874.0;16.0
Botafogo;1;0;0;22;830.0;599.0;29.0
Cacuia;1;0;0;37;800.0;200.0;24.0
Vila Isabel;1;0;0;36;1000.0;480.0;20.0
Pedra de Guaratiba;1;0;0;35;450.0;1007.5;264.5
Campinho;1;0;1;35;660.0;66.0;55.0
Del Castilho;1;0;0;50;1000.0;727.0;18.0
Méier;1;0;0;67;800.0;430.0;423.0
Copacabana;1;0;0;20;1100.0;400.0;325.0
Freguesia (Jacarepaguá);1;1;0;49;950.0;430.0;35.0
Estácio;1;1;1;32;1000.0;410.0;21.0
Campinho;1;0;0;69;600.0;504.5;492.0
Flamengo;1;0;0;18;1000.0;373.0;29.0
Méier;1;0;0;40;700.0;355.0;17.0
Pechincha;1;1;0;50;600.0;500.0;20.0
Centro;1;0;0;48;800.0;80.0;965.0
Engenho Novo;1;1;0;45;590.0;270.0;16.0
Barra da Tijuca;1;1;0;42;950.0;650.0;15.0
Barra da Tijuca;1;1;1;45;1070.0;644.0;37.0
Méier;1;0;0;33;700.0;315.0;14.0
Tauá;1;0;0;50;870.0;150.0;521.3333333333333
Tijuca;1;0;0;43;1100.0;210.0;650.25
Vigário Geral;1;0;0;40;500.0;2350.0;315.1428571428571
Cachambi;1;0;0;50;900.0;982.5;810.0
Itanhangá;1;0;0;30;700.0;839.0;142.0
Quintino Bocaiúva;1;1;0;35;650.0;314.0;197.5
São Cristóvão;1;1;0;60;1100.0;400.0;11.0
Ramos;1;1;0;55;1000.0;1080.0;133.0
Vaz Lobo;1;0;0;60;800.0;870.0;819.0
Lins de Vasconcelos;1;1;0;42;1050.0;504.0;16.0
Rio Comprido;1;1;0;99;1000.0;777.0;68.0
Leme;1;0;0;26;1100.0;605.0;26.0
São Cristóvão;1;0;0;41;1000.0;130.0;298.0
Higienópolis;1;0;0;45;700.0;130.0;275.5
Tijuca;1;0;0;24;1000.0;400.0;357.5
Centro;1;0;0;36;900.0;230.0;20.0
Campo Grande;1;0;0;45;950.0;1425.0;2.0
Centro;1;0;0;35;950.0;425.0;25.0
Engenho Novo;1;1;0;51;800.0;532.0;16.0
Centro;1;0;0;35;1150.0;430.0;180.0
Irajá;1;0;0;40;700.0;897.5;151.8
Andaraí;1;0;0;48;1050.0;195.0;20.0
Piedade;1;1;0;40;650.0;305.0;16.0
Centro;1;0;0;34;900.0;400.0;125.33333333333333
Freguesia (Jacarepaguá);1;1;0;67;1000.0;470.0;16.0
Jacarepaguá;1;1;0;55;900.0;480.0;40.0
Rocha Miranda;1;0;0;44;750.0;1187.0;1300.5
Cachambi;1;1;0;45;700.0;210.0;953.3333333333334
Centro;1;0;0;20;800.0;338.0;20.0
São Cristóvão;1;0;0;45;700.0;270.0;20.0
Campo Grande;1;0;0;40;490.0;460.0;161.33333333333334
Curicica;1;0;0;45;950.0;150.0;157.0
Centro;1;0;0;30;900.0;415.0;23.0
Centro;1;1;0;46;1100.0;560.0;490.0
Copacabana;1;0;0;56;1100.0;920.0;190.0
Pavuna;1;1;0;50;600.0;2588.5;965.8571428571429
Catete;1;0;0;22;900.0;446.0;521.4285714285714
Santo Cristo;1;1;0;27;800.0;120.0;3750.0
Bento Ribeiro;1;1;0;51;600.0;1125.0;55.2
Jacarepaguá;1;0;0;30;700.0;112.0;188.25
Quintino Bocaiúva;1;0;0;60;700.0;270.0;552.5
Itanhangá;1;1;0;45;1000.0;1084.0;183.33333333333331
Tijuca;1;0;0;45;1150.0;458.0;46.0
Glória;1;0;0;35;1150.0;350.0;25.0
Anchieta;1;0;0;60;690.0;745.0;169.0
Centro;1;0;0;47;950.0;250.0;109.0
Praça Seca;1;1;0;56;900.0;240.0;125.0
Centro;1;0;0;30;800.0;280.0;24.0
Centro;1;0;0;25;1000.0;280.0;175.0
Vicente de Carvalho;1;0;0;40;610.0;95.0;734.6666666666667
Campo Grande;1;0;0;40;480.0;2150.0;782.8
Centro;1;0;0;21;750.0;269.0;24.0
Estácio;1;1;0;36;750.0;342.0;65.33333333333333
Grajaú;1;1;0;50;1100.0;500.0;25.0
Campo Grande;1;0;0;50;550.0;1750.0;602.0
Méier;1;0;0;33;890.0;250.0;13.0
Senador Vasconcelos;1;1;0;40;690.0;2580.0;613.3333333333333
Jardim Sulacap;1;1;0;45;850.0;70.0;147.5
Vila Isabel;1;0;0;50;1000.0;325.0;34.0
Todos os Santos;1;0;0;40;900.0;675.0;34.0
Glória;1;0;0;30;1100.0;348.0;13.0
Centro;1;0;0;40;1000.0;438.0;21.0
Ilha do Governador;1;0;0;71;1000.0;1300.0;398.25
Vila Isabel;1;0;0;36;1050.0;385.0;31.5
Copacabana;1;0;0;35;1000.0;410.0;57.0
Centro;1;0;0;45;1000.0;350.0;23.0
Flamengo;1;0;0;15;900.0;401.0;23.0
Tijuca;1;1;0;60;1050.0;695.0;20.0
Méier;1;0;0;32;900.0;180.0;215.0
Madureira;1;1;0;50;650.0;450.0;2326.6666666666665
Barra da Tijuca;1;0;0;38;1000.0;410.0;15.0
Bonsucesso;1;0;0;62;800.0;270.0;525.0
Vila Isabel;1;0;1;45;1100.0;500.0;24.0
Riachuelo;1;0;0;53;1000.0;217.0;1043.6
Engenho Novo;1;1;0;40;1150.0;310.0;784.8
Centro;1;0;0;38;1000.0;335.0;175.0
Praça Seca;1;1;0;40;1000.0;270.0;179.0
Tijuca;1;1;0;40;1100.0;500.0;20.0
Centro;1;0;0;20;800.0;430.0;38.0
Santa Teresa;1;0;0;25;750.0;400.0;130.5
Jacarepaguá;1;1;0;56;600.0;692.0;263.5
Tijuca;1;0;0;30;1000.0;420.0;21.0
Campo Grande;1;1;0;40;500.0;200.0;742.5
Catete;1;0;0;24;1100.0;435.0;225.0
Riachuelo;1;0;0;46;900.0;253.0;17.0
Méier;1;0;0;45;1000.0;1320.0;6100.0
Flamengo;1;0;0;31;1000.0;394.0;24.0
Moneró;1;0;0;55;1000.0;350.0;18.0
Inhaúma;1;0;0;45;750.0;2222.5;229.33333333333334
Pedra de Guaratiba;1;0;0;42;460.0;1155.5;426.5
Centro;1;0;0;31;850.0;560.0;115.0
Centro;1;0;0;41;1100.0;390.0;24.0
Senador Vasconcelos;1;1;1;40;850.0;180.0;135.0
Vila da Penha;1;0;0;27;750.0;1950.0;327.5
Madureira;1;1;0;60;650.0;220.0;238.66666666666669
Vila da Penha;1;1;0;48;1100.0;150.0;185.5
Centro;1;0;0;34;1000.0;600.0;129.0
Vista Alegre;1;0;0;35;750.0;906.0;212.0
Bangu;1;0;0;50;750.0;1225.0;100.0
Jardim América;1;0;0;60;600.0;1520.5;252.0
Centro;1;0;0;38;800.0;383.0;299.5
Marechal Hermes;1;0;0;70;520.0;475.0;25.0
Taquara;1;0;0;40;800.0;980.0;13.0
Ricardo de Albuquerque;1;0;0;25;350.0;2589.0;1550.0
Copacabana;1;0;0;19;1100.0;488.0;30.0
Pechincha;1;1;0;54;850.0;347.0;14.0
Bonsucesso;1;1;0;50;950.0;170.0;26.0
Méier;1;0;0;47;900.0;320.0;16.0
Copacabana;1;0;0;40;1100.0;800.0;100.0
Vila Isabel;1;0;0;50;800.0;176.0;24.0
Flamengo;1;0;0;28;900.0;380.0;29.0
Engenho Novo;1;0;0;40;850.0;381.0;2684.25
Tijuca;1;0;0;57;1000.0;517.0;466.5
Guadalupe;1;0;0;30;400.0;590.0;3233.333333333333
Botafogo;1;0;0;40;700.0;150.0;573.3333333333333
Engenho de Dentro;1;0;0;45;600.0;200.0;1176.6666666666665
Pechincha;1;1;0;46;1100.0;300.0;104.0
Vila Isabel;1;1;0;60;1000.0;500.0;958.0
Taquara;1;1;1;50;600.0;367.0;16.0
Méier;1;1;0;33;900.0;550.0;12.0
Engenho Novo;1;1;0;58;1000.0;580.0;17.0
Recreio dos Bandeirantes;1;0;0;30;900.0;35.0;9.0
Vila da Penha;1;0;0;30;700.0;1250.0;398.25
Senador Vasconcelos;1;1;1;50;800.0;180.0;457.5
Pavuna;1;1;0;40;400.0;220.0;252.5
Cocotá;1;0;0;37;700.0;200.0;20.0
Cacuia;1;1;0;42;1050.0;330.0;183.0
Campo Grande;1;0;0;65;700.0;550.0;160.0
Centro;1;0;0;22;1000.0;420.0;24.0
Jacarepaguá;1;1;0;55;1100.0;580.0;457.33333333333337
Irajá;1;0;0;55;850.0;110.0;87.33333333333333
Santa Teresa;1;0;0;31;1000.0;330.0;15.0
Cacuia;1;1;0;37;900.0;214.0;96.5
São Francisco Xavier;1;0;0;76;800.0;415.0;14.0
Andaraí;1;1;0;60;1000.0;230.0;23.0
Centro;1;0;0;34;1100.0;313.0;25.0
Pedra de Guaratiba;1;0;0;40;500.0;3200.0;456.5
Penha Circular;1;0;0;50;650.0;120.0;1959.5
Laranjeiras;1;0;0;26;800.0;458.0;29.0
Del Castilho;1;0;0;55;800.0;785.0;110.0
São Cristóvão;1;1;0;36;1000.0;280.0;136.0
Pechincha;1;1;0;52;850.0;585.0;36.0
Higienópolis;1;0;0;50;650.0;1150.0;180.0
Centro;1;0;0;22;1050.0;280.0;24.0
Fátima;1;0;0;25;800.0;300.0;20.0
Jardim Guanabara;1;0;0;39;1100.0;250.0;25.0
Centro;1;0;0;40;900.0;400.0;21.0
Botafogo;1;0;0;35;1000.0;293.0;86.0
Centro;1;0;0;21;830.0;355.0;24.0
Vila da Penha;1;0;0;30;800.0;761.0;242.5
Oswaldo Cruz;1;1;0;50;1000.0;150.0;173.0
Glória;1;0;0;30;800.0;495.0;256.0
Copacabana;1;0;0;32;1100.0;561.0;29.0
Copacabana;1;0;0;29;790.0;480.0;95.0
Centro;1;0;0;25;1100.0;316.0;24.0
Freguesia (Jacarepaguá);1;0;0;28;550.0;1830.0;235.0
Centro;1;0;0;27;1000.0;420.0;508.25
Tijuca;1;0;0;37;1000.0;462.0;706.0
Laranjeiras;1;0;0;30;1000.0;70.0;29.0
Lapa;1;0;0;35;1100.0;300.0;25.0
Tauá;1;1;0;50;1000.0;424.0;602.5
Méier;1;0;0;41;850.0;430.0;14.0
Irajá;1;0;0;48;850.0;120.0;166.5
Vila da Penha;1;1;0;65;1000.0;369.0;378.0
Centro;1;0;0;40;1000.0;400.0;160.66666666666669
Méier;1;0;0;60;900.0;283.0;17.0
Vila Isabel;1;0;0;50;850.0;369.0;24.0
Vila da Penha;1;0;0;40;1000.0;1745.0;418.0
Del Castilho;1;1;0;55;800.0;350.0;68.0
Abolição;1;0;0;42;800.0;260.0;16.0
São Cristóvão;1;0;0;33;780.0;1515.0;785.0
Centro;1;0;0;24;750.0;322.0;21.0
Barra da Tijuca;1;1;1;65;1000.0;2650.0;180.0
Glória;1;0;0;39;900.0;246.0;262.0
Tijuca;1;0;0;50;1100.0;350.0;21.0
Taquara;1;1;0;49;800.0;465.0;35.0
Tijuca;1;0;0;48;1000.0;650.0;47.0
Madureira;1;0;0;55;700.0;200.0;33221.6
Copacabana;1;0;0;38;1150.0;780.0;11443.199999999997
Centro;1;0;0;35;1000.0;500.0;24.0
Copacabana;1;0;0;40;950.0;579.0;67.0
Vila da Penha;1;0;0;64;700.0;200.0;169.0
Riachuelo;1;1;0;55;1000.0;500.0;472.5
Engenho Novo;1;1;0;54;1000.0;450.0;34.0
Centro;1;0;0;34;800.0;330.0;18.0
Centro;1;0;0;20;900.0;238.0;10.0
Centro;1;0;0;42;1100.0;410.0;108.0
Centro;1;0;0;27;1100.0;370.0;295.0
Vila Isabel;1;1;0;40;1000.0;400.0;24.0
Andaraí;1;1;0;60;1000.0;400.0;21.0
Vila Isabel;1;0;0;50;1100.0;450.0;20.0
Copacabana;1;0;0;27;1000.0;655.0;55.0
Rocha Miranda;1;0;0;28;900.0;743.0;69.5
Catete;1;0;0;45;1100.0;327.0;54.0
Gardênia Azul;1;0;0;27;650.0;1312.6666666666667;133.4
Campo Grande;1;0;0;40;500.0;1341.3333333333333;93.60000000000001
Lins de Vasconcelos;1;0;0;35;500.0;360.0;15.0
Centro;1;0;0;31;1000.0;400.0;20.0
Taquara;1;0;0;30;700.0;1771.0;526.0
Estácio;1;1;1;32;1000.0;409.0;14.0
Engenho de Dentro;1;0;0;32;800.0;1722.5;252.0
Pechincha;1;1;1;40;850.0;442.0;15.0
Ramos;1;1;0;47;750.0;470.0;360.0
Centro;1;0;0;40;1000.0;300.0;20.0
Vaz Lobo;1;1;0;39;600.0;175.0;108.5
Pechincha;1;1;0;45;780.0;370.0;30.0
Sampaio;1;0;0;36;650.0;293.0;14.0
Pechincha;1;1;0;68;1150.0;554.0;13.0
Cachambi;1;1;0;36;600.0;407.0;432.5
Praça da Bandeira;1;0;0;40;900.0;435.0;218.5
Flamengo;1;0;0;45;1100.0;514.0;67.0
Cachambi;1;0;0;30;600.0;100.0;13.0
Campo Grande;1;0;0;40;480.0;1107.0;162.5
Grajaú;1;1;0;56;1100.0;580.0;420.0
Grajaú;1;0;1;37;1000.0;200.0;807.1428571428571
Pechincha;1;0;1;69;900.0;640.0;126.0
Glória;1;0;0;46;1100.0;453.0;32.0
Guadalupe;1;0;0;40;550.0;642.5;136.33333333333334
Bonsucesso;1;0;0;60;1000.0;1155.0;255.0
Botafogo;1;0;0;21;1000.0;282.0;25.0
Tijuca;1;0;0;28;1000.0;360.0;25.0
